Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
LTRPB,"Liberty TripAdvisor Holdings, Inc.",13.85,1038787063,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ltrpb
AAOI,"Applied Optoelectronics, Inc.",55.02,1027656848,n/a,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
SSYS,"Stratasys, Ltd.",19.19,1011229926,n/a,1994,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ssys
EXTN,Exterran Corporation,28.16,1001992218,n/a,2015,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/extn
HIMX,"Himax Technologies, Inc.",9.28,1001885773,107961829,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/himx
SCSC,"ScanSource, Inc.",39.5,997479359,n/a,n/a,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/scsc
FIVN,"Five9, Inc.",18.52,988895049.7,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/fivn
JOBS,"51job, Inc.",36.88,988139522.5,26793371,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
SPXC,SPX Corporation,23.35,985960381.4,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/spxc
SPSC,"SPS Commerce, Inc.",56.48,970363112,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spsc
EPAY,"Bottomline Technologies, Inc.",23.92,970175513.8,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/epay
WEB,"Web.com Group, Inc.",19.05,959275608.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/web
SWIR,"Sierra Wireless, Inc.",29.7,953281909.8,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/swir
PLUS,ePlus inc.,133.45,944888321.2,n/a,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
SCWX,SecureWorks Corp.,11.56,932558482.4,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/scwx
QSII,"Quality Systems, Inc.",14.74,920323782.6,n/a,1982,Technology,EDP Services,http://www.nasdaq.com/symbol/qsii
VRTU,Virtusa Corporation,30.31,908012491.8,n/a,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/vrtu
APPF,"AppFolio, Inc.",25.7,867022550.2,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf
RATE,"Bankrate, Inc.",9.6,863190489.6,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/rate
CRAY,Cray Inc,21.05,857500756.9,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
LSCC,Lattice Semiconductor Corporation,7.04,857109144.3,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/lscc
SPWR,SunPower Corporation,6.07,841908508.3,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/spwr
MITL,Mitel Networks Corporation,6.89,840840965.6,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/mitl
VRNS,"Varonis Systems, Inc.",30.95,830747427.2,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/vrns
FORM,"FormFactor, Inc.",11.55,827582355.6,n/a,2003,Technology,Semiconductors,http://www.nasdaq.com/symbol/form
KELYB,"Kelly Services, Inc.",21.5,822244968,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelyb
BNFT,"Benefitfocus, Inc.",26.75,821613597.3,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft
TRTN,Triton International Limited,24.41,815179053.3,n/a,2016,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/trtn
KELYA,"Kelly Services, Inc.",21.11,807329826.7,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelya
UTEK,"Ultratech, Inc.",29.35,793107762.9,n/a,1993,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/utek
TYPE,Monotype Imaging Holdings Inc.,19.15,790312188.9,n/a,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/type
MGRC,McGrath RentCorp,32.65,781893613.1,n/a,1984,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/mgrc
TGH,Textainer Group Holdings Limited,13.8,780952998.6,n/a,2007,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/tgh
PLAB,"Photronics, Inc.",10.85,745705017.1,n/a,1987,Technology,Semiconductors,http://www.nasdaq.com/symbol/plab
CEVA,"CEVA, Inc.",34.55,742167720.8,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva
BCOR,"Blucora, Inc.",17.5,736499487.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bcor
UIS,Unisys Corporation,14.35,723198399.4,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/uis
HSTM,"HealthStream, Inc.",22.73,722294414.9,n/a,2000,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/hstm
CTS,CTS Corporation,21.95,719136743.3,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/cts
PDFS,"PDF Solutions, Inc.",22.41,718283056.6,n/a,2001,Technology,EDP Services,http://www.nasdaq.com/symbol/pdfs
EXTR,"Extreme Networks, Inc.",6.44,696620686.2,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr
PRO,"PROS Holdings, Inc.",22.47,693816661,n/a,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/pro
QTNA,"Quantenna Communications, Inc.",20.93,692283819.5,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/qtna
INST,"Instructure, Inc.",24,687795480,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/inst
CHUBK,"CommerceHub, Inc.",15.35,659865232.1,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chubk
CHUBA,"CommerceHub, Inc.",15.34,659435352.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chuba
CSIQ,Canadian Solar Inc.,11.15,640430734.1,n/a,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/csiq
SPNS,Sapiens International Corporation N.V.,13.07,638615635.7,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spns
KAI,Kadant Inc,57.95,633835484.7,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kai
KFRC,"Kforce, Inc.",23.6,632720059.2,n/a,1995,Technology,Professional Services,http://www.nasdaq.com/symbol/kfrc
ATEN,"A10 Networks, Inc.",9.18,627421622.8,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
WK,Workiva Inc.,15.1,623109835.2,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/wk
RPD,"Rapid7, Inc.",14.45,616157739.3,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/rpd
PRFT,"Perficient, Inc.",17.36,614888943.2,n/a,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/prft
NEFF,Neff Corporation,17.65,585204317.8,n/a,2014,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/neff
CAMP,CalAmp Corp.,16.44,582179560.1,n/a,1983,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/camp
HDP,"Hortonworks, Inc.",9.31,580575445,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/hdp
NH,"NantHealth, Inc.",4.75,575889881.3,n/a,2016,Technology,EDP Services,http://www.nasdaq.com/symbol/nh
SEDG,"SolarEdge Technologies, Inc.",13.7,565343172.5,n/a,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/sedg
SSNI,"Silver Spring Networks, Inc.",10.56,560124998.4,n/a,2013,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ssni
ICHR,Ichor Holdings,18.22,555477367,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/ichr
CARB,"Carbonite, Inc.",19.3,543371196.4,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/carb
CYOU,Changyou.com Limited,28.89,538280097.8,18632056,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou
EXAR,Exar Corporation,10.43,530786736.4,n/a,1985,Technology,Semiconductors,http://www.nasdaq.com/symbol/exar
RENN,Renren Inc.,7.75,526872659.8,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/renn
UCTT,"Ultra Clean Holdings, Inc.",15.66,523082476.6,n/a,2004,Technology,Semiconductors,http://www.nasdaq.com/symbol/uctt
VDSI,"VASCO Data Security International, Inc.",12.9,518688811.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/vdsi
TCX,Tucows Inc.,49.05,513339985.4,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/tcx
QADA,QAD Inc.,26.95,512114168,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/qada
JKS,JinkoSolar Holding Company Limited,16.19,511406449.6,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/jks
CCRN,"Cross Country Healthcare, Inc.",13.55,489962363.2,n/a,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
ACLS,"Axcelis Technologies, Inc.",16.3,487648061.7,n/a,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls
ACTA,Actua Corporation,13.9,484963104.8,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
KEYW,The KEYW Holding Corporation,9.74,482130750,n/a,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/keyw
HSII,"Heidrick & Struggles International, Inc.",25.5,476107975.5,n/a,1999,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/hsii
RCII,Rent-A-Center Inc.,8.88,472387965.8,n/a,1995,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/rcii
HLIT,Harmonic Inc.,5.9,470660717.7,n/a,1995,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/hlit
MDCA,MDC Partners Inc.,9.4,469389893,n/a,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/mdca
APTI,"Apptio, Inc.",11.79,452551073.9,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/apti
IXYS,IXYS Corporation,14.3,452042877,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ixys
KE,"Kimball Electronics, Inc.",16.05,438647768,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/ke
QADB,QAD Inc.,22.5768,429012955.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/qadb
ERII,"Energy Recovery, Inc.",7.595,409220962,n/a,2008,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii
AOSL,Alpha and Omega Semiconductor Limited,17.04,402242235.6,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
NPTN,NeoPhotonics Corporation,9.26,394860604.8,n/a,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/nptn
LPSN,"LivePerson, Inc.",6.75,393522009.8,n/a,2000,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/lpsn
MOBL,"MobileIron, Inc.",4.4,392596569.2,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mobl
NVEC,NVE Corporation,80.99,391749439.9,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/nvec
BBSI,"Barrett Business Services, Inc.",52.04,377343289,n/a,1993,Technology,Professional Services,http://www.nasdaq.com/symbol/bbsi
XTLY,Xactly Corporation,11.75,370349824.5,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/xtly
PKE,Park Electrochemical Corporation,18.11,366449891.8,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/pke
CPSI,"Computer Programs and Systems, Inc.",26.7,361335986.1,n/a,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
MGIC,Magic Software Enterprises Ltd.,8.05,356962921,n/a,1991,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mgic
BV,"Bazaarvoice, Inc.",4.25,355506392.8,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bv
SILC,Silicom Ltd,47.15,346390445.5,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/silc
JIVE,"Jive Software, Inc.",4.35,344404677.2,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/jive
CMTL,Comtech Telecommunications Corp.,14.55,342698463.5,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
IMOS,ChipMOS TECHNOLOGIES INC.,16.94,341839984.6,20179456,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos
NQ,NQ Mobile Inc.,3.71,340829467.5,n/a,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/nq
CSLT,"Castlight Health, inc.",3.2,337261235.2,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/cslt
SONS,"Sonus Networks, Inc.",6.55,321393094.4,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sons
VNET,"21Vianet Group, Inc.",5.45,315906339.7,57964466,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
WATT,Energous Corporation,15.37,315483728.5,n/a,2014,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt
INAP,Internap Corporation,3.8,312287819,n/a,1999,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/inap
DGII,Digi International Inc.,11.75,310562534.5,n/a,1989,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/dgii
BCOV,Brightcove Inc.,9.05,308243353,n/a,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/bcov
SPIL,"Siliconware Precision Industries Company, Ltd.",8.04,303778471.7,37783392,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spil
MX,MagnaChip Semiconductor Corporation,9.05,300938690.7,n/a,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/mx
AMSWA,"American Software, Inc.",10.16,299420066.6,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
GLUU,Glu Mobile Inc.,2.13,286946698.8,n/a,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/gluu
MODN,"Model N, Inc.",10.15,285962892.6,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/modn
ECOM          ,ChannelAdvisor Corporation,10.85,284804709.7,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ecom
UPLD,"Upland Software, Inc.",15.59,278146724.5,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/upld
RUBI,"The Rubicon Project, Inc.",5.58,275898792.2,n/a,2014,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/rubi
CAI,"CAI International, Inc.",14.46,275567357.8,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/cai
KOPN,Kopin Corporation,3.99,269509976.4,n/a,1992,Technology,Semiconductors,http://www.nasdaq.com/symbol/kopn
CRNT,Ceragon Networks Ltd.,3.44,267235220.1,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt
DMRC,Digimarc Corporation,24.85,265678308,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dmrc
DSPG,"DSP Group, Inc.",11.85,261498808.5,n/a,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg
KZ,KongZhong Corporation,7.42,261215698.2,35204272,n/a,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/kz
IVAC,"Intevac, Inc.",12.1,258823065.6,n/a,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ivac
TLND,Talend S.A.,28.57,255085816.5,8928450,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/tlnd
ZIXI,Zix Corporation,4.63,251721437,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/zixi
IMMR,Immersion Corporation,8.33,241444358.6,n/a,1999,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/immr
INSE,"Inspired Entertainment, Inc.",10.75,241004991.8,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/inse
RDCM,Radcom Ltd.,21.2,239890508,n/a,1997,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/rdcm
GILT,Gilat Satellite Networks Ltd.,5.23,232391111.8,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/gilt
PCYG,"Park City Group, Inc.",11.95,231652674,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/pcyg
JASO,"JA Solar Holdings, Co., Ltd.",5.72,230437075.4,40286202,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/jaso
QTM,Quantum Corporation,0.8454,229968783.6,n/a,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/qtm
EMKR,EMCORE Corporation,8.6,228626880.6,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
DQ,DAQO New Energy Corp.,21.91,228597174.3,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/dq
SIGM,"Sigma Designs, Inc.",5.95,225038264.2,n/a,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/sigm
GHM,Graham Corporation,23,223769070,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ghm
HIVE,"Aerohive Networks, Inc.",4.25,222245747.3,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
FUEL,Rocket Fuel Inc.,4.75,219708898.8,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fuel
TWIN,"Twin Disc, Incorporated",19.05,219439483.7,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/twin
AGYS,"Agilysys, Inc.",9.39,218117117.4,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
MITK,"Mitek Systems, Inc.",6.5,216282930.5,n/a,n/a,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/mitk
RST,Rosetta Stone,9.68,214521277.5,n/a,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/rst
SPA,Sparton Corporation,21.23,208810531.1,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/spa
GIG,"GigPeak, Inc.",3.07,207659666,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/gig
AMBR,"Amber Road, Inc.",7.66,207078731.8,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ambr
MOXC,"Moxian, Inc.",3.05,204371957,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/moxc
NCIT,"NCI, Inc.",15,203022345,n/a,2005,Technology,EDP Services,http://www.nasdaq.com/symbol/ncit
SQNS,Sequans Communications S.A.,2.65,198549355.3,n/a,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/sqns
EXA,Exa Corporation,12.92,192462573.3,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa
AVID,"Avid Technology, Inc.",4.7,192065100.5,n/a,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/avid
GUID,"Guidance Software, Inc.",5.84,190769440,n/a,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/guid
SLP,"Simulations Plus, Inc.",10.95,188677238.1,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/slp
AXTI,AXT Inc,5.65,186627856.4,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/axti
MJCO,Majesco,5,182490140,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mjco
OOMA,"Ooma, Inc.",9.7,175078937.5,n/a,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/ooma
GSIT,"GSI Technology, Inc.",8.58,174892369.1,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/gsit
GDS,GDS Holdings Limited,8.41,168794881.4,20070735,2016,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/gds
